Temps,It,Stocks,Prix
1,1,101.860016,3.921943
2,2,101.782784,3.135992
3,3,102.270973,3.399741
4,4,104.802925,5.085333
5,5,105.911987,5.628324
6,6,104.084579,4.754075
7,7,106.291092,6.310044
8,8,108.837601,9.554201
9,9,108.164665,7.569183
10,10,109.474045,8.877257
11,11,111.499870,11.248499
12,12,114.393242,15.210527
13,13,112.374001,12.504321
14,14,111.780792,10.527712
15,15,109.973312,8.153777
16,16,110.428436,9.379889
17,17,112.698067,12.024723
18,18,113.507439,13.209652
19,19,114.586853,13.308515
20,20,117.353355,19.885431
21,21,118.117622,20.107805
22,22,115.646118,14.828864
23,23,113.319954,10.271272
24,24,113.346924,10.473599
25,25,112.864441,9.057109
26,26,111.327423,6.771468
27,27,111.338181,6.941898
28,28,108.833366,2.727326
29,29,109.032623,2.926167
30,30,108.362907,2.145201
31,31,107.829071,1.673498
32,32,107.244431,1.027372
33,33,106.895844,1.008045
34,34,105.247559,0.440578
35,35,105.669220,0.374494
36,36,104.260559,0.029535
37,37,106.305077,0.308353
38,38,104.858704,0.032058
39,39,106.129776,0.127864
40,40,105.449127,0.035309
41,41,104.029228,0.053509
42,42,106.077293,0.034382
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.000000
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.273704
2,2,104.069519,4.465271
3,3,100.503822,3.015601
4,4,100.899460,2.435513
5,5,99.796852,1.565428
6,6,102.921700,3.174494
7,7,103.030922,3.829771
8,8,103.493202,4.092824
