Temps,It,Stocks,Prix
1,1,101.860016,3.774224
2,2,101.782784,3.742427
3,3,102.270973,3.530222
4,4,104.802925,5.188319
5,5,105.911987,5.924324
6,6,104.084579,4.263825
7,7,106.291092,6.710783
8,8,108.837601,8.260017
9,9,108.164665,7.533713
10,10,109.474045,8.975397
11,11,111.499870,10.529280
12,12,114.393242,15.739017
13,13,112.374001,12.296168
14,14,111.780792,11.252090
15,15,109.973312,8.329397
16,16,110.428436,9.175879
17,17,112.698067,11.438118
18,18,113.507439,12.044178
19,19,114.586853,13.639374
20,20,117.353355,19.814430
21,21,118.117622,20.700594
22,22,115.646118,14.953732
23,23,113.319954,10.698683
24,24,113.346924,11.045484
25,25,112.864441,9.469332
26,26,111.327423,6.845329
27,27,111.338181,6.052702
28,28,108.833366,3.187772
29,29,109.032623,3.221154
30,30,108.362907,2.108759
31,31,107.829071,1.831720
32,32,107.244431,1.137416
33,33,106.895844,1.277978
34,34,105.247559,0.449982
35,35,105.669220,0.357739
36,36,104.260559,0.106567
37,37,106.305077,0.390921
38,38,104.858704,0.067608
39,39,106.129776,0.102230
40,40,105.449127,0.053992
41,41,104.029228,0.000000
42,42,106.077293,0.019846
43,43,104.987579,0.000000
44,44,106.656082,0.000000
45,45,108.478302,0.049215
46,46,107.813622,0.000000
47,47,107.000511,0.000000
48,48,105.482689,0.000000
49,49,105.252586,0.000000
50,50,105.786102,0.000000
51,51,107.605583,0.000000
52,52,108.966637,0.000000
53,53,107.483452,0.000000
54,54,108.435631,0.000000
55,55,107.083191,0.000000
56,56,108.250984,0.000000
57,57,108.035431,0.000000
58,58,108.687485,0.000000
59,59,109.769958,0.000000
60,60,110.428719,0.000000
61,61,109.808174,0.000000
62,62,109.197639,0.000000
63,63,106.269524,0.000000
64,64,105.389893,0.000000
65,65,106.770248,0.000000
66,66,107.377762,0.000000
67,67,107.270828,0.000000
68,68,107.837845,0.000000
69,69,109.011681,0.000000
70,70,109.058693,0.000000
71,71,109.591080,0.000000
72,72,108.937325,0.000000
73,73,108.216232,0.000000
74,74,108.138275,0.000000
75,75,108.254272,0.000000
76,76,110.277153,0.000000
77,77,110.538841,0.000000
78,78,109.441147,0.000000
79,79,110.472412,0.000000
80,80,109.322182,0.000000
81,81,109.167839,0.000000
82,82,112.064331,0.000000
83,83,113.455879,0.000000
84,84,112.056549,0.000000
85,85,112.756409,0.000000
86,86,111.979736,0.000000
87,87,112.457298,0.000000
88,88,111.627419,0.000000
89,89,113.324364,0.000000
90,90,114.149834,0.000000
91,91,116.294060,0.000000
92,92,117.448013,0.000000
93,93,117.378540,0.000000
94,94,115.612564,0.000000
95,95,116.333092,0.000000
96,96,114.512337,0.000000
97,97,114.717896,0.000000
98,98,112.314247,0.000000
99,99,111.846161,0.000000
100,100,110.449867,0.000000
1,1,102.231812,4.355656
2,2,104.069519,5.205655
3,3,100.503822,2.204704
4,4,100.899460,2.961711
5,5,99.796852,1.635099
6,6,102.921700,3.201620
7,7,103.030922,3.762891
8,8,103.493202,3.315697
9,9,102.138420,2.707189
10,10,102.312622,3.075267
11,11,103.279228,2.501558
12,12,105.589058,4.084394
13,13,105.739807,4.483887
14,14,108.218918,6.442739
15,15,108.925941,6.521589
16,16,108.937943,6.141322
17,17,109.351089,7.310550
18,18,109.017906,6.474889
19,19,109.213501,6.712821
20,20,107.690369,4.922676
21,21,107.090797,3.511593
22,22,107.591690,3.909954
23,23,107.877853,4.015422
24,24,105.148193,2.402120
25,25,105.896187,1.918534
26,26,105.748741,1.742275
27,27,107.325500,2.835760
28,28,109.062256,3.147536
29,29,108.776169,2.947825
30,30,107.011154,1.719520
31,31,107.652519,1.803533
32,32,109.047638,2.493022
33,33,109.167305,2.084348
34,34,106.322449,0.430119
35,35,106.655418,0.451041
36,36,104.391190,0.267924
37,37,102.210587,0.032931
38,38,103.322853,0.073639
39,39,107.404327,0.224325
40,40,106.321159,0.153997
41,41,106.721931,0.000000
42,42,107.583122,0.000000
43,43,107.867073,0.068564
44,44,107.317444,0.083339
45,45,106.069847,0.000000
46,46,106.524170,0.000000
47,47,107.255775,0.000000
48,48,107.503395,0.000000
49,49,107.141769,0.000000
50,50,107.630669,0.000000
51,51,108.669495,0.000000
52,52,109.909019,0.000000
53,53,109.242363,0.000000
54,54,107.053818,0.000000
55,55,107.624748,0.000000
56,56,106.816605,0.000000
57,57,108.705681,0.000000
58,58,108.848000,0.000000
59,59,109.791359,0.000000
60,60,109.398376,0.000000
61,61,109.520103,0.000000
62,62,110.015884,0.000000
63,63,109.546638,0.000000
64,64,107.844536,0.000000
65,65,106.013329,0.000000
66,66,105.889366,0.000000
67,67,106.057213,0.000000
68,68,107.782074,0.000000
69,69,107.972527,0.000000
70,70,109.376518,0.000000
71,71,109.408791,0.000000
72,72,109.813255,0.000000
73,73,110.218842,0.000000
74,74,111.086945,0.000000
75,75,111.232117,0.000000
76,76,111.760544,0.000000
77,77,110.749817,0.000000
78,78,110.663017,0.000000
79,79,111.298393,0.000000
80,80,110.178558,0.000000
81,81,110.483208,0.000000
82,82,108.352028,0.000000
83,83,111.083557,0.000000
84,84,109.760406,0.000000
85,85,106.902641,0.000000
86,86,105.856133,0.000000
87,87,105.808800,0.000000
88,88,105.572853,0.000000
89,89,105.502190,0.000000
90,90,104.652908,0.000000
91,91,106.727760,0.000000
92,92,105.186531,0.000000
93,93,104.907166,0.000000
94,94,104.018715,0.000000
95,95,104.884247,0.000000
96,96,103.817749,0.000000
97,97,104.236259,0.000000
98,98,102.264526,0.000000
